,district,Year,mean,month,Visitors
345,Nagarkurnool ,2016,196157.66666666663,April,
346,Nalgonda,2016,488205.0833333333,April,601253.0
347,Nirmal,2016,305536.6666666667,April,
348,Nizamabad,2016,536.8333333333334,April,476.0
349,Peddapalli,2016,1081.3333333333333,April,
350,Rajanna Sircilla ,2016,725600.3333333334,April,
351,Sangareddy ,2016,259333.3333333333,April,
352,Siddipet,2016,119466.66666666669,April,
353,Wanaparthy ,2016,20046.0,April,
354,Warangal (Rural),2016,6466.666666666667,April,
355,Warangal (Urban),2016,2149002.9166666665,April,317643.0
356,Yadadri Bhongir,2016,576200.0,April,
357,Adilabad,2017,68781.66666666667,April,13946.0
358,Bhadradri Kothagudem ,2017,341193.0833333333,April,667459.0
359,Hyderabad,2017,2263353.5,April,2366793.0
360,Jagtial ,2017,303450.0833333333,April,330540.0
361,Jangaon ,2017,13809.0,April,9788.0
362,Jayashankar Bhoopalpally,2017,152584.16666666666,April,90700.0
363,Jogulamba Gadwal ,2017,187116.5833333333,April,131426.0
364,Kamareddy ,2017,45.0,April,46.0
365,Karimnagar ,2017,10331.333333333334,April,8630.0
366,Khammam,2017,128533.58333333331,April,135920.0
367,Komaram Bheem Asifabad,2017,4249.25,April,3074.0
368,Mahabubabad ,2017,11817.916666666666,April,9140.0
369,Mahbubnagar,2017,290685.75,April,208694.0
370,Mancherial,2017,15968.833333333334,April,1513.0
371,Medak ,2017,643905.75,April,554864.0
372,Nagarkurnool ,2017,221137.0833333333,April,183697.0
373,Nalgonda,2017,20159.666666666668,April,44295.0
374,Nirmal,2017,367090.25,April,274132.0
375,Nizamabad,2017,1829.0833333333333,April,1048.0
376,Peddapalli,2017,1241.5,April,750.0
377,Rajanna Sircilla ,2017,993278.9166666666,April,1146782.0
378,Sangareddy ,2017,235287.5,April,215000.0
379,Siddipet,2017,95476.75,April,80500.0
380,Wanaparthy ,2017,20391.75,April,11502.0
381,Warangal (Rural),2017,12020.833333333334,April,7600.0
382,Warangal (Urban),2017,118333.5,April,107133.0
383,Yadadri Bhongir,2017,583477.3333333334,April,570000.0
384,Adilabad,2018,53728.583333333336,April,14183.0
385,Bhadradri Kothagudem ,2018,316656.5,April,341258.0
386,Hyderabad,2018,1628637.5833333333,April,1586375.0
387,Jagtial ,2018,329410.0833333333,April,372874.0
388,Jangaon ,2018,24251.83333333333,April,18100.0
389,Jayashankar Bhoopalpally,2018,1407993.75,April,149150.0
390,Jogulamba Gadwal ,2018,169712.08333333334,April,138673.0
391,Kamareddy ,2018,47.66666666666666,April,45.0
392,Karimnagar ,2018,7787.333333333333,April,5830.0
393,Khammam,2018,118120.08333333331,April,126553.0
394,Komaram Bheem Asifabad,2018,1879.5,April,868.0
395,Mahabubabad ,2018,13832.916666666666,April,12915.0
396,Mahbubnagar,2018,237692.3333333333,April,196061.0
397,Mancherial,2018,33167.0,April,38483.0
398,Medak ,2018,325000.0,April,200000.0
399,Nagarkurnool ,2018,174077.08333333334,April,174592.0
400,Nalgonda,2018,13386.5,April,9779.0
401,Nirmal,2018,348110.4166666667,April,368645.0
402,Nizamabad,2018,3451.9166666666665,April,3550.0
403,Peddapalli,2018,1854.5,April,1940.0
404,Rajanna Sircilla ,2018,902852.5833333334,April,833874.0
405,Sangareddy ,2018,189158.3333333333,April,162500.0
406,Siddipet,2018,106941.66666666669,April,115000.0
407,Wanaparthy ,2018,23883.33333333333,April,10550.0
408,Warangal (Rural),2018,25167.666666666668,April,21600.0
409,Warangal (Urban),2018,143611.33333333334,April,142510.0
410,Yadadri Bhongir,2018,1139448.1666666667,April,692370.0
411,Adilabad,2019,64657.91666666666,April,9972.0
412,Bhadradri Kothagudem ,2019,1068144.75,April,349585.0
413,Hyderabad,2019,1150196.8333333333,April,1045933.0
414,Jagtial ,2019,257176.25,April,447226.0
415,Jangaon ,2019,27407.5,April,26160.0
416,Jayashankar Bhoopalpally,2019,55210.833333333336,April,38500.0
417,Jogulamba Gadwal ,2019,167332.91666666666,April,82334.0
418,Kamareddy ,2019,44.5,April,41.0
419,Karimnagar ,2019,6457.583333333333,April,5623.0
420,Khammam,2019,117786.66666666669,April,135920.0
421,Komaram Bheem Asifabad,2019,1599.0833333333333,April,663.0
422,Mahabubabad ,2019,12740.416666666666,April,12980.0
423,Mahbubnagar,2019,211234.5833333333,April,183268.0
424,Mancherial,2019,22484.166666666668,April,23026.0
425,Medak ,2019,454380.8333333333,April,650000.0
426,Mulugu,2019,151650.0,April,152570.0
427,Nagarkurnool ,2019,174442.66666666666,April,121460.0
428,Nalgonda,2019,11743.166666666666,April,7202.0
429,Narayanapet,2019,64875.0,April,
430,Nirmal,2019,318064.8333333333,April,327971.0
431,Nizamabad,2019,3861.0833333333335,April,958.0
432,Peddapalli,2019,1381.75,April,942.0
433,Rajanna Sircilla ,2019,1402741.4166666667,April,1148062.0
434,Sangareddy ,2019,379430.0,April,205000.0
435,Siddipet,2019,248988.66666666663,April,184412.0
436,Wanaparthy ,2019,24886.58333333333,April,23749.0
437,Warangal (Rural),2019,29458.33333333333,April,26900.0
438,Warangal (Urban),2019,149602.5,April,150425.0
439,Yadadri Bhongir,2019,374114.5,April,441150.0
440,Adilabad,2016,422963.0833333333,May,252887.0
441,Bhadradri Kothagudem ,2016,296343.3333333333,May,
442,Hyderabad,2016,1949558.75,May,1287181.0
443,Jagtial ,2016,207692.3333333333,May,
444,Jangaon ,2016,13553.333333333334,May,
445,Jayashankar Bhoopalpally,2016,81133.33333333333,May,
446,Jogulamba Gadwal ,2016,174467.0,May,
447,Kamareddy ,2016,42.333333333333336,May,
448,Karimnagar ,2016,763955.6666666666,May,1095642.0
449,Khammam,2016,417085.9166666667,May,433994.0
450,Komaram Bheem Asifabad,2016,0.0,May,
451,Mahabubabad ,2016,46667.333333333336,May,
452,Mahbubnagar,2016,692063.8333333334,May,571898.0
453,Mancherial,2016,2600.6666666666665,May,
454,Medak ,2016,288600.0,May,198000.0
455,Nagarkurnool ,2016,196157.66666666663,May,
456,Nalgonda,2016,488205.0833333333,May,628872.0
457,Nirmal,2016,305536.6666666667,May,
458,Nizamabad,2016,536.8333333333334,May,554.0
459,Peddapalli,2016,1081.3333333333333,May,
460,Rajanna Sircilla ,2016,725600.3333333334,May,
461,Sangareddy ,2016,259333.3333333333,May,
462,Siddipet,2016,119466.66666666669,May,
463,Wanaparthy ,2016,20046.0,May,
464,Warangal (Rural),2016,6466.666666666667,May,
465,Warangal (Urban),2016,2149002.9166666665,May,373788.0
466,Yadadri Bhongir,2016,576200.0,May,
467,Adilabad,2017,68781.66666666667,May,11752.0
468,Bhadradri Kothagudem ,2017,341193.0833333333,May,311626.0
469,Hyderabad,2017,2263353.5,May,2266793.0
470,Jagtial ,2017,303450.0833333333,May,468038.0
471,Jangaon ,2017,13809.0,May,12130.0
472,Jayashankar Bhoopalpally,2017,152584.16666666666,May,91150.0
473,Jogulamba Gadwal ,2017,187116.5833333333,May,131426.0
474,Kamareddy ,2017,45.0,May,60.0
475,Karimnagar ,2017,10331.333333333334,May,8890.0
476,Khammam,2017,128533.58333333331,May,138799.0
477,Komaram Bheem Asifabad,2017,4249.25,May,3416.0
478,Mahabubabad ,2017,11817.916666666666,May,10220.0
479,Mahbubnagar,2017,290685.75,May,214209.0
480,Mancherial,2017,15968.833333333334,May,1424.0
481,Medak ,2017,643905.75,May,556891.0
482,Nagarkurnool ,2017,221137.0833333333,May,183697.0
483,Nalgonda,2017,20159.666666666668,May,10750.0
484,Nirmal,2017,367090.25,May,297233.0
485,Nizamabad,2017,1829.0833333333333,May,1341.0
486,Peddapalli,2017,1241.5,May,640.0
487,Rajanna Sircilla ,2017,993278.9166666666,May,1117228.0
488,Sangareddy ,2017,235287.5,May,215000.0
489,Siddipet,2017,95476.75,May,80500.0
490,Wanaparthy ,2017,20391.75,May,11502.0
491,Warangal (Rural),2017,12020.833333333334,May,8500.0
492,Warangal (Urban),2017,118333.5,May,109915.0
493,Yadadri Bhongir,2017,583477.3333333334,May,458700.0
494,Adilabad,2018,53728.583333333336,May,8197.0
495,Bhadradri Kothagudem ,2018,316656.5,May,291273.0
496,Hyderabad,2018,1628637.5833333333,May,1189492.0
497,Jagtial ,2018,329410.0833333333,May,641363.0
498,Jangaon ,2018,24251.83333333333,May,19660.0
499,Jayashankar Bhoopalpally,2018,1407993.75,May,152050.0
500,Jogulamba Gadwal ,2018,169712.08333333334,May,131426.0
501,Kamareddy ,2018,47.66666666666666,May,49.0
502,Karimnagar ,2018,7787.333333333333,May,5689.0
503,Khammam,2018,118120.08333333331,May,135189.0
504,Komaram Bheem Asifabad,2018,1879.5,May,793.0
505,Mahabubabad ,2018,13832.916666666666,May,12865.0
506,Mahbubnagar,2018,237692.3333333333,May,193478.0
507,Mancherial,2018,33167.0,May,26179.0
508,Medak ,2018,325000.0,May,300000.0
509,Nagarkurnool ,2018,174077.08333333334,May,183697.0
510,Nalgonda,2018,13386.5,May,10241.0
511,Nirmal,2018,348110.4166666667,May,342650.0
512,Nizamabad,2018,3451.9166666666665,May,5360.0
513,Peddapalli,2018,1854.5,May,1499.0
